from,to,label,sourceRelationship,sourceBaseClass,sourceDependentClass
ci-docker-container,ci-docker-image,Runs on,Instantiated by (child),Docker Container,Docker Image
ci-storage-volume,ci-storage-volume-snapshot,Depends on,Replicates to (parent),Storage Volume,Storage Volume Snapshot
ci-cloud-mgmt-network-interface,ci-aws-datacenter,Runs on,Hosted on (parent),Cloud Mgmt Network Interface,AWS Datacenter
ci-dpu,ci-ot-control-module,Depends on,Owns (parent),DPU,OT Control Module
ci-ace,ci-network-adapter,Depends on,Owns (parent),ACE,Network Adapter
ci-azure-management-group,ci-cloud-account-group,Contains,Contained by (child),Azure Management Group,Cloud Account Group
ci-ace,ci-load-balancer-pool,Depends on,Owns (parent),ACE,Load Balancer Pool
ci-router-interface,ci-radware-load-balancer,Uses,Used by (child),Router Interface,Radware Load Balancer
ci-cluster,ci-f5-big-ip,Runs on,Hosted on (parent),Cluster,F5 BIG-IP
ci-ip-switch,ci-next-hop-routing-rule,Uses,Uses (parent),IP Switch,Next Hop Routing Rule
ci-linux-server,ci-disk-partition,Contains,Contains (parent),Linux Server,Disk Partition
ci-windows-server,ci-disk-partition,Contains,Contains (parent),Windows Server,Disk Partition
ci-network-adapter,ci-palo-alto-firewall-device,Depends on,Owned by (child),Network Adapter,Palo Alto Firewall Device
ci-opc-server,ci-dcs,Connects to,Connects to (parent),OPC Server,DCS
ci-aix-server,ci-ibm-lpar-instance,Depends on,Owned by (child),AIX Server,IBM LPAR Instance
ci-patch,ci-solaris-server,Depends on,Owned by (child),Patch,Solaris Server
ci-disk,ci-storage-server,Contains,Contained by (child),Disk,Storage Server
ci-kafka-topic,ci-kafka-connect,Connects to,Connected by (child),Kafka Topic,Kafka Connect
ci-aix-server,ci-network-adapter,Depends on,Owns (parent),AIX Server,Network Adapter
ci-storage-node-element,ci-network-adapter,Depends on,Owns (parent),Storage Node Element,Network Adapter
ci-storage-file-share,ci-storage-server,Uses,Provided by (child),Storage File Share,Storage Server
ci-load-balancer-service,ci-ace,Runs on,Runs on (parent),Load Balancer Service,ACE
ci-server,ci-site,Contains,Contains (parent),Server,Site
ci-virtual-machine-instance,ci-vnic-endpoint,Connects to,Use End Point To (parent),Virtual Machine Instance,VNIC Endpoint
ci-sdwan-port,ci-sdwan-edge,Contains,Contained by (child),SDWAN Port,SDWAN Edge
ci-avi-service-engine,ci-avi-controller-cluster,Runs on,Hosted on (parent),AVI Service Engine,AVI Controller Cluster
ci-network-adapter,ci-data-power-hosting-server,Depends on,Owned by (child),Network Adapter,Data Power Hosting Server
ci-unix-cluster-node,ci-unix-cluster-resource,Depends on,Gets resources from (child),UNIX Cluster Node,UNIX Cluster Resource
ci-load-balancer-service,ci-computer,Routes to,Distributes (child),Load Balancer Service,Computer
ci-openstack-datacenter,ci-cloud-service-account,Runs on,Hosted on (parent),Openstack Datacenter,Cloud Service Account
ci-aws-datacenter,ci-aws-cloud-ecs-task,Contains,Hosts (child),AWS Datacenter,AWS Cloud ECS Task
ci-plc,ci-opc-server,Connects to,Connected by (child),PLC,OPC Server
ci-database,ci-hardware-type,Uses,Provisioned From (parent),Database,Hardware Type
ci-f5-big-ip,ci-load-balancer-vlan,Depends on,Owns (parent),F5 BIG-IP,Load Balancer VLAN
ci-tracked-configuration-file,ci-kubernetes-statefulset,Contains,Contained by (child),Tracked Configuration file,Kubernetes StatefulSet
ci-kubernetes-daemonset,ci-tracked-configuration-file,Contains,Contains (parent),Kubernetes DaemonSet,Tracked Configuration file
ci-aws-datacenter,ci-cloud-service-account,Runs on,Hosted on (parent),AWS Datacenter,Cloud Service Account
ci-memory-module,ci-windows-server,Contains,Contained by (child),Memory Module,Windows Server
ci-linux-server,ci-storage-device,Contains,Contains (parent),Linux Server,Storage Device
ci-cloud-network,ci-nat-endpoint,Connects to,Use End Point To (parent),Cloud Network,NAT Endpoint
ci-business-process-activity,ci-information-object,Uses,Uses (parent),Business Process Activity,Information Object
ci-nfs-endpoint,ci-virtual-machine-instance,Connects to,Use End Point From (child),NFS Endpoint,Virtual Machine Instance
ci-business-application,ci-information-object,Uses,Uses (parent),Business Application,Information Object
ci-router-interface,ci-ip-switch,Uses,Used by (child),Router Interface,IP Switch
ci-router-interface,ci-hpux-server,Uses,Used by (child),Router Interface,HPUX Server
ci-cluster-resource-group,ci-unix-cluster-node,Contains,Contained by (child),Cluster Resource Group,UNIX Cluster Node
ci-unix-cluster,ci-cluster-resource-group,Contains,Contains (parent),UNIX Cluster,Cluster Resource Group
ci-plc,ci-hmi,Connects to,Connected by (child),PLC,HMI
ci-virtual-machine-instance,ci-cloud-image,Uses,Provisioned From (parent),Virtual Machine Instance,Cloud Image
ci-vnic-endpoint,ci-cloud-mgmt-network-interface,Connects to,Implement End Point To (parent),VNIC Endpoint,Cloud Mgmt Network Interface
ci-oracle-instance,ci-oracle-database-listener,Uses,Used by (child),Oracle Instance,Oracle Database Listener
ci-disk-partition,ci-windows-server,Contains,Contained by (child),Disk Partition,Windows Server
ci-virtual-machine-instance,ci-compute-security-endpoint,Connects to,Use End Point To (parent),Virtual Machine Instance,Compute Security Endpoint
ci-google-datacenter,ci-cloud-service-account,Runs on,Hosted on (parent),Google Datacenter,Cloud Service Account
ci-allocated-ip-address,ci-managed-ip-network-subnet,Contains,Member of (child),Allocated IP Address,Managed IP Network Subnet
ci-esx-server,ci-windows-server,Runs on,Virtualized by (parent),ESX Server,Windows Server
ci-server,ci-cassandra-cluster-node,Contains,Hosts (child),Server,Cassandra Cluster Node
ci-image,ci-virtual-machine-instance,Uses,Provisioned (child),Image,Virtual Machine Instance
ci-storage-pool,ci-file-system,Uses,Provides (child),Storage Pool,File System
ci-solaris-server,ci-nas-file-system,Contains,Contains (parent),Solaris Server,NAS File System
ci-network-topology,ci-network-topology,Contains,Members (parent),Network Topology,Network Topology
ci-rtu,ci-plc,Connects to,Connects to (parent),RTU,PLC
ci-cloudfoundry-domain,ci-cloudfoundry-organization,Depends on,Owned by (child),CloudFoundry Domain,CloudFoundry Organization
ci-load-balancer-service,ci-avi-service-engine,Uses,Uses (parent),Load Balancer Service,AVI Service Engine
ci-cloud-key-pair,ci-virtual-machine-instance,Uses,Used by (child),Cloud Key Pair,Virtual Machine Instance
ci-cloud-load-balancer,ci-openstack-datacenter,Runs on,Hosted on (parent),Cloud Load Balancer,Openstack Datacenter
ci-storage-server,ci-storage-file-share,Uses,Provides (parent),Storage Server,Storage File Share
ci-cassandra-cluster-node,ci-cassandra-cluster,Contains,Cluster of (parent),Cassandra Cluster Node,Cassandra Cluster
ci-load-balancer-vlan,ci-f5-big-ip,Depends on,Owned by (child),Load Balancer VLAN,F5 BIG-IP
ci-information-object,ci-database-catalog,Depends on,Depends on (parent),Information Object,Database Catalog
ci-computer,ci-computer,Uses,Used by (child),Computer,Computer
ci-aws-datacenter,ci-aws-kinesis,Contains,Hosts (child),AWS Datacenter,AWS Kinesis
ci-disk-partition,ci-solaris-server,Contains,Contained by (child),Disk Partition,Solaris Server
ci-citrix-netscaler,ci-load-balancer-interface,Depends on,Owns (parent),Citrix Netscaler,Load Balancer Interface
ci-virtual-machine-instance,ci-openstack-datacenter,Runs on,Hosted on (parent),Virtual Machine Instance,Openstack Datacenter
ci-ip-address,ci-ibm-zos-server,Depends on,Owned by (child),IP Address,IBM zOS server
ci-router-interface,ci-fortinet-firewall-device,Uses,Used by (child),Router Interface,Fortinet Firewall Device
ci-kafka-cluster,ci-logical-datacenter,Contains,Hosts (child),Kafka Cluster,Logical Datacenter
ci-cloud-subnet,ci-acl-endpoint,Connects to,Use End Point To (parent),Cloud Subnet,ACL Endpoint
ci-storage-volume,ci-availability-zone,Contains,Contained by (child),Storage Volume,Availability Zone
ci-linux-server,ci-kubernetes-node,Contains,Hosts (child),Linux Server,Kubernetes Node
ci-unix-cluster,ci-unix-cluster-node,Contains,Cluster (child),UNIX Cluster,UNIX Cluster Node
ci-load-balancer-pool,ci-alteon,Depends on,Owned by (child),Load Balancer Pool,Alteon
ci-storage-device,ci-hyper-v-server,Contains,Contained by (child),Storage Device,Hyper-V Server
ci-nas-file-system,ci-linux-server,Contains,Contained by (child),NAS File System,Linux Server
ci-kafka-broker,ci-kafka-cluster-node,Connects to,Connected by (child),Kafka Broker,Kafka Cluster Node
ci-historian,ci-scada-server,Connects to,Connects to (parent),Historian,SCADA Server
ci-ovirt-ldc,ci-cloud-service-account,Runs on,Hosted on (parent),oVirt LDC,Cloud Service Account
ci-router-interface,ci-hyper-v-server,Uses,Used by (child),Router Interface,Hyper-V Server
ci-api-backend,ci-kong-load-balancer,Uses,Uses (parent),API Backend,Kong Load Balancer
ci-information-object,ci-business-process-activity,Uses,Used by (child),Information Object,Business Process Activity
ci-nutanix-cluster,ci-nutanix-host,Contains,Members (parent),Nutanix Cluster,Nutanix Host
ci-data-power-hosting-server,ci-ip-address,Depends on,Owned by (child),Data Power Hosting Server,IP Address
ci-linux-server,ci-iscsi-disk,Contains,Contains (parent),Linux Server,iSCSI Disk
ci-unix-cluster,ci-computer,Runs on,Hosted on (parent),UNIX Cluster,Computer
ci-load-balancer-interface,ci-citrix-netscaler,Depends on,Owned by (child),Load Balancer Interface,Citrix Netscaler
ci-hpux-server,ci-ip-address,Depends on,Owns (parent),HPUX Server,IP Address
ci-provider-device,ci-network-circuit,Connects to,Connected by (child),Provider Device,Network Circuit
ci-availability-zone,ci-virtual-machine-instance,Contains,Contains (parent),Availability Zone,Virtual Machine Instance
ci-cloud-image,ci-alibaba-datacenter,Runs on,Hosted on (parent),Cloud Image,Alibaba Datacenter
ci-ip-switch,ci-data-power-hosting-server,Connects to,IP Connection (child),IP Switch,Data Power Hosting Server
ci-network-topology,ci-hardware,Contains,Contains (parent),Network Topology,Hardware
ci-aws-datacenter,ci-virtual-machine-instance,Contains,Hosts (child),AWS Datacenter,Virtual Machine Instance
ci-fibre-channel-disk,ci-file-system,Uses,Provides (parent),Fibre Channel Disk,File System
ci-firewall-security-policy,ci-firewall-manager,Contains,Contained by (child),Firewall Security Policy,Firewall Manager
ci-ip-switch,ci-network-adapter,Depends on,Owns (parent),IP Switch,Network Adapter
ci-next-hop-routing-rule,ci-linux-server,Uses,Used by (child),Next Hop Routing Rule,Linux Server
ci-ibm-frame,ci-ibm-hmc-server,Depends on,Managed by (parent),IBM Frame,IBM HMC Server
ci-switch-forwarding-rule,ci-ip-switch,Contains,Contained by (child),Switch Forwarding Rule,IP Switch
ci-kubernetes-cluster-role,ci-logical-datacenter,Runs on,Hosted on (parent),Kubernetes Cluster Role,Logical Datacenter
ci-mssql-availability-group,ci-mssql-availability-group-replica,Contains,Cluster (child),MSSQL Availability Group,MSSQL Availability Group Replica
ci-cloud-load-balancer,ci-dns-name,Contains,Contains (parent),Cloud Load Balancer,DNS Name
ci-rtu,ci-ied,Connects to,Connects to (parent),RTU,IED
ci-cloud-account-group,ci-aws-organizational-unit,Contains,Contains (parent),Cloud Account Group,AWS Organizational Unit
ci-storage-server,ci-disk,Contains,Contains (parent),Storage Server,Disk
ci-exit-interface-routing-rule,ci-computer,Uses,Used by (child),Exit Interface Routing Rule,Computer
ci-dns-zone,ci-resource-group,Contains,Contained by (child),DNS Zone,Resource Group
ci-nsx-load-balancer,ci-load-balancer-service,Runs on,Runs (child),NSX Load Balancer,Load Balancer Service
ci-patch,ci-aix-server,Depends on,Owned by (child),Patch,AIX Server
ci-windows-server,ci-windows-cluster-node,Contains,Hosts (child),Windows Server,Windows Cluster Node
ci-cloud-network,ci-availability-zone,Contains,Contained by (child),Cloud Network,Availability Zone
ci-computer,ci-memory-module,Contains,Contains (parent),Computer,Memory Module
ci-subnet-endpoint,ci-virtual-machine-instance,Connects to,Use End Point From (child),Subnet Endpoint,Virtual Machine Instance
ci-resource-group,ci-dns-zone,Contains,Contains (parent),Resource Group,DNS Zone
ci-software,ci-hyper-v-server,Runs on,Runs on (parent),Software,Hyper-V Server
ci-resource-group,ci-cloud-public-ip-address,Contains,Contains (parent),Resource Group,Cloud Public IP Address
ci-solaris-server,ci-storage-pool,Contains,Contains (parent),Solaris Server,Storage Pool
ci-hyper-v-server,ci-router-interface,Uses,Uses (parent),Hyper-V Server,Router Interface
ci-instance-template,ci-cloud-hardware-type,Uses,Uses (parent),Instance template,Cloud Hardware Type
ci-load-balancer-service,ci-load-balancer-pool,Contains,Contains (parent),Load Balancer Service,Load Balancer Pool
ci-cloud-service-account,ci-google-datacenter,Contains,Hosts (child),Cloud Service Account,Google Datacenter
ci-load-balancer-pool,ci-google-datacenter,Runs on,Hosted on (parent),Load Balancer Pool,Google Datacenter
ci-ip-router,ci-network-adapter,Depends on,Owns (parent),IP Router,Network Adapter
ci-load-balancer-interface,ci-f5-big-ip,Depends on,Owned by (child),Load Balancer Interface,F5 BIG-IP
ci-compute-security-group,ci-cloud-load-balancer,Contains,Contained by (child),Compute Security Group,Cloud Load Balancer
ci-router-interface,ci-windows-server,Uses,Used by (child),Router Interface,Windows Server
ci-vmware-vcenter-datastore,ci-vmware-vcenter-datacenter,Contains,Contained by (child),VMware vCenter Datastore,VMware vCenter Datacenter
ci-load-balancer-pool-member,ci-load-balancer-pool,Contains,Member of (child),Load Balancer Pool Member,Load Balancer Pool
ci-storage-cluster,ci-storage-cluster-node,Contains,Cluster of (parent),Storage Cluster,Storage Cluster Node
ci-solaris-server,ci-zones,Runs on,Runs (child),Solaris Server,Zones
ci-fibre-channel-disk,ci-solaris-server,Contains,Contained by (child),Fibre Channel Disk,Solaris Server
ci-switchport,ci-switch-forwarding-rule,Routes to,Distributes (child),Switchport,Switch Forwarding Rule
ci-esx-server,ci-vmware-vcenter-datastore,Uses,Uses (child),ESX Server,VMware vCenter Datastore
ci-instance-scale-set,ci-resource-group,Contains,Contained by (child),Instance Scale Set,Resource Group
ci-dynamodb-global-table,ci-dynamodb-table,Contains,Cluster of (parent),DynamoDB Global Table,DynamoDB Table
ci-windows-cluster,ci-windows-server,Runs on,Hosted on (parent),Windows Cluster,Windows Server
ci-linux-server,ci-vmware-virtual-machine-instance,Runs on,Instantiates (parent),Linux Server,VMware Virtual Machine Instance
ci-oracle-instance,ci-oracle-database-listener,Depends on,Depends on (parent),Oracle Instance,Oracle Database Listener
ci-vmware-vcenter-datastore,ci-vmware-vcenter-folder,Contains,Contained by (child),VMware vCenter Datastore,VMware vCenter Folder
ci-storage-device,ci-linux-server,Contains,Contained by (child),Storage Device,Linux Server
ci-ovirt-ldc,ci-cloud-mgmt-network-interface,Contains,Hosts (child),oVirt LDC,Cloud Mgmt Network Interface
ci-linux-server,ci-kubernetes-cluster,Depends on,Managed by (parent),Linux Server,Kubernetes Cluster
ci-cloudfoundry-application,ci-cloudfoundry-space-service-instance,Uses,Uses (parent),CloudFoundry Application,CloudFoundry Space Service Instance
ci-aws-datacenter,ci-compute-security-group,Contains,Hosts (child),AWS Datacenter,Compute Security Group
ci-iscsi-disk,ci-solaris-server,Contains,Contained by (child),iSCSI Disk,Solaris Server
ci-cloudfoundry-route,ci-cloudfoundry-space,Connects to,Implement End Point To (parent),CloudFoundry Route,CloudFoundry Space
ci-storage-file-share,ci-storage-volume,Contains,Allocated from (child),Storage File Share,Storage Volume
ci-docker-container,ci-aws-datacenter,Runs on,Hosted on (parent),Docker Container,AWS Datacenter
ci-ip-router,ci-switch-forwarding-rule,Contains,Contains (parent),IP Router,Switch Forwarding Rule
ci-fibre-channel-port,ci-storage-server,Depends on,Owned by (child),Fibre Channel Port,Storage Server
ci-server,ci-cluster-node,Contains,Hosts (child),Server,Cluster Node
ci-network-adapter,ci-alteon,Depends on,Owned by (child),Network Adapter,Alteon
ci-ip-address,ci-windows-server,Depends on,Owned by (child),IP Address,Windows Server
ci-hyper-v-virtual-network-component,ci-hyper-v-server,Uses,Provides (parent),Hyper-V Virtual Network Component,Hyper-V Server
ci-linux-server,ci-file-system,Contains,Contains (parent),Linux Server,File System
ci-cloud-direct-connect,ci-resource-group,Contains,Contained by (child),Cloud Direct Connect,Resource Group
ci-ip-router,ci-ip-address,Depends on,Owns (parent),IP Router,IP Address
ci-windows-cluster-node,ci-windows-cluster-resource,Depends on,Gets resources from (child),Windows Cluster Node,Windows Cluster Resource
ci-linux-server,ci-ip-address,Depends on,Owns (parent),Linux Server,IP Address
ci-cohesity-node,ci-chassis,Runs on,Hosted on (parent),Cohesity Node,Chassis
ci-file-system,ci-disk,Uses,Provides (parent),File System,Disk
ci-hyper-v-cluster,ci-hyper-v-server,Contains,Members (parent),Hyper-V Cluster,Hyper-V Server
ci-kafka-zoo-keeper,ci-kafka-cluster,Depends on,parent:e819fdffc7616010dc4b677703c26038,Kafka Zoo Keeper,Kafka Cluster
ci-hyper-v-virtual-network,ci-hyper-v-server,Uses,Provides (parent),Hyper-V Virtual Network,Hyper-V Server
ci-unique-certificate,ci-configuration-item,Uses,Uses (child),Unique Certificate,Configuration Item
ci-opc-client,ci-opc-server,Connects to,Connects to (parent),OPC Client,OPC Server
ci-scada-server,ci-opc-client,Connects to,Connects to (parent),SCADA Server,OPC Client
ci-avi-service-engine,ci-load-balancer-service,Uses,Used by (child),AVI Service Engine,Load Balancer Service
ci-file-system,ci-hpux-server,Contains,Contained by (child),File System,HPUX Server
ci-mssql-availability-group-replica,ci-windows-server,Runs on,Hosted on (parent),MSSQL Availability Group Replica,Windows Server
ci-citrix-netscaler,ci-load-balancer-service,Runs on,Runs (child),Citrix Netscaler,Load Balancer Service
ci-nas-file-system,ci-hyper-v-server,Contains,Contained by (child),NAS File System,Hyper-V Server
ci-offering,ci-dynamic-ci-group,Contains,Contains (parent),Offering,Dynamic CI Group
ci-unix-cluster-node,ci-computer,Runs on,Hosted on (parent),UNIX Cluster Node,Computer
ci-cloud-network,ci-ibm-datacenter,Runs on,Hosted on (parent),Cloud Network,IBM Datacenter
ci-aws-datacenter,ci-cloud-load-balancer,Contains,Hosts (child),AWS Datacenter,Cloud Load Balancer
ci-aws-datacenter,ci-image,Contains,Hosts (child),AWS Datacenter,Image
ci-endpoint,ci-service,Uses,Used by (child),Endpoint,Service
ci-availability-zone,ci-load-balancer-service,Contains,Contains (parent),Availability Zone,Load Balancer Service
ci-switch-partition,ci-ip-router,Contains,Contained by (child),Switch Partition,IP Router
ci-nas-file-system,ci-disk-partition,Uses,Provided By (parent),NAS File System,Disk Partition
ci-cisco-ucs-equipment,ci-cisco-ucs-rack-mount-unit,Contains,Contains (parent),Cisco UCS Equipment,Cisco UCS Rack Mount Unit
ci-vmware-vcenter-datacenter,ci-vmware-virtual-machine-template,Contains,Contains (parent),VMware vCenter Datacenter,VMware Virtual Machine Template
ci-hyper-v-resource-pool,ci-hyper-v-server,Depends on,Defines resources for (parent),Hyper-V Resource Pool,Hyper-V Server
ci-ip-address,ci-storage-server,Uses,Used by (child),IP Address,Storage Server
ci-solaris-server,ci-ip-address,Depends on,Owns (parent),Solaris Server,IP Address
ci-ip-address,ci-linux-server,Depends on,Owned by (child),IP Address,Linux Server
ci-vpn-connection,ci-virtual-private-gateway,Contains,Contained by (child),VPN Connection,Virtual Private Gateway
ci-storage-cluster,ci-storage-node-element,Depends on,Manages (child),Storage Cluster,Storage Node Element
ci-cloud-hardware-type,ci-cloud-database,Uses,Provisioned (child),Cloud Hardware Type,Cloud DataBase
ci-windows-server,ci-exit-interface-routing-rule,Uses,Uses (child),Windows Server,Exit Interface Routing Rule
ci-mssql-availability-group,ci-mssql-availability-group-listener,Uses,Uses (child),MSSQL Availability Group,MSSQL Availability Group Listener
ci-ovirt-virtual-machine-instance,ci-ovirt-server,Runs on,Registered on (parent),oVirt Virtual Machine Instance,oVirt Server
ci-vmware-virtual-machine-instance,ci-computer,Depends on,Instance of (child),VMware Virtual Machine Instance,Computer
ci-storage-node-element,ci-chassis,Runs on,Hosted on (parent),Storage Node Element,Chassis
ci-file-system,ci-linux-server,Contains,Contained by (child),File System,Linux Server
ci-next-hop-routing-rule,ci-ip-router,Uses,Used by (child),Next Hop Routing Rule,IP Router
ci-nas-file-system,ci-storage-file-share,Contains,Allocated from (parent),NAS File System,Storage File Share
ci-kubernetes-replicaset,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes ReplicaSet,Cloud Service Account
ci-cohesity-node,ci-cohesity-cluster,Contains,Cluster of (parent),Cohesity Node,Cohesity Cluster
ci-opc-server,ci-rtu,Connects to,Connects to (parent),OPC Server,RTU
ci-next-hop-routing-rule,ci-windows-server,Uses,Used by (parent),Next Hop Routing Rule,Windows Server
ci-palo-alto-firewall-device,ci-router-interface,Uses,Uses (parent),Palo Alto Firewall Device,Router Interface
ci-kubernetes-service,ci-kubernetes-pod,Contains,Cluster of (parent),Kubernetes Service,Kubernetes Pod
ci-disk,ci-file-system,Uses,Provided by (child),Disk,File System
ci-disk-partition,ci-nas-file-system,Uses,Provides (child),Disk Partition,NAS File System
ci-windows-server,ci-fibre-channel-disk,Contains,Contains (parent),Windows Server,Fibre Channel Disk
ci-f5-big-ip,ci-router-interface,Uses,Uses (parent),F5 BIG-IP,Router Interface
ci-cloud-service-account,ci-cmdb-ci-cloud-org,Contains,Contained by (child),Cloud Service Account,cmdb_ci_cloud_org
ci-file-system,ci-computer,Contains,Contained by (child),File System,Computer
ci-cloud-service-account,ci-ibm-datacenter,Contains,Hosts (child),Cloud Service Account,IBM Datacenter
ci-scada-client,ci-scada-server,Connects to,Connects to (parent),SCADA Client,SCADA Server
ci-load-balancer-service,ci-load-balancer-vlan,Uses,Uses (parent),Load Balancer Service,Load Balancer VLAN
ci-exit-interface-routing-rule,ci-next-hop-routing-rule,Depends on,Owns (parent),Exit Interface Routing Rule,Next Hop Routing Rule
ci-resource-group,ci-cloud-storage-account,Contains,Contains (parent),Resource Group,Cloud Storage Account
ci-linux-server,ci-esx-server,Runs on,Virtualized by (parent),Linux Server,ESX Server
ci-vmware-virtual-machine-template,ci-esx-server,Runs on,Registered on (parent),VMware Virtual Machine Template,ESX Server
ci-application,ci-load-balancer-service,Routes to,Distributed by (parent),Application,Load Balancer Service
ci-virtual-private-gateway,ci-resource-group,Contains,Contained by (child),Virtual Private Gateway,Resource Group
ci-datastore-disk,ci-storage-disk,Uses,Imports from (child),Datastore Disk,Storage Disk
ci-kubernetes-cluster,ci-kubernetes-statefulset,Contains,Hosts (child),Kubernetes Cluster,Kubernetes StatefulSet
ci-kubernetes-daemonset,ci-kubernetes-cluster,Runs on,Hosted on (parent),Kubernetes DaemonSet,Kubernetes Cluster
ci-ace,ci-ip-address,Depends on,Owns (parent),ACE,IP Address
ci-openstack-datacenter,ci-image,Contains,Hosts (child),Openstack Datacenter,Image
ci-load-balancer-pool,ci-load-balancer-service,Contains,Contained by (child),Load Balancer Pool,Load Balancer Service
ci-cassandra-cluster-node,ci-server,Runs on,Hosted on (parent),Cassandra Cluster Node,Server
ci-storage-server,ci-network-adapter,Uses,Uses (parent),Storage Server,Network Adapter
ci-hyper-v-server,ci-disk,Contains,Contains (parent),Hyper-V Server,Disk
ci-resource-group,ci-cloud-direct-connect,Contains,Contains (parent),Resource Group,Cloud Direct Connect
ci-storage-volume-snapshot,ci-storage-volume,Depends on,Replicated by (child),Storage Volume Snapshot,Storage Volume
ci-virtual-machine-instance,ci-cloud-hardware-type,Uses,Provisioned From (parent),Virtual Machine Instance,Cloud Hardware Type
ci-aws-cloud-ecs-service,ci-aws-cloud-ecs-taskdefinition,Uses,Uses (parent),AWS Cloud ECS Service,AWS Cloud ECS TaskDefinition
ci-disk,ci-solaris-server,Contains,Contained by (child),Disk,Solaris Server
ci-aws-datacenter,ci-nat-gateway,Contains,Hosts (child),AWS Datacenter,NAT Gateway
ci-instance-template,ci-cloud-image,Uses,Uses (parent),Instance template,Cloud Image
ci-application,ci-storage-server,Depends on,Depends on (parent),Application,Storage Server
ci-docker-local-image,ci-docker-image,Runs on,Instantiates (parent),Docker Local Image,Docker Image
ci-video-management-system,ci-ip-camera,Uses,Uses (parent),Video Management System,IP Camera
ci-google-datacenter,ci-storage-volume,Contains,Hosts (child),Google Datacenter,Storage Volume
ci-ibm-datacenter,ci-virtual-machine-instance,Contains,Hosts (child),IBM Datacenter,Virtual Machine Instance
ci-network-adapter,ci-ace,Depends on,Owned by (child),Network Adapter,ACE
ci-aws-cloud-ecs-task,ci-docker-container,Runs on,Runs on (parent),AWS Cloud ECS Task,Docker Container
ci-ot-control-module,ci-industrial-actuator,Depends on,Owns (parent),OT Control Module,Industrial Actuator
ci-cluster-virtual-ip,ci-unix-cluster-node,Uses,Used by (parent),Cluster Virtual IP,UNIX Cluster Node
ci-oracle-database-listener,ci-oracle-instance,Uses,Used by (child),Oracle Database Listener,Oracle Instance
ci-vmware-virtual-machine-template,ci-vmware-vcenter-datacenter,Contains,Contained by (child),VMware Virtual Machine Template,VMware vCenter Datacenter
ci-fibre-channel-port,ci-windows-server,Depends on,Owned by (child),Fibre Channel Port,Windows Server
ci-storage-server,ci-ip-address,Uses,Uses (parent),Storage Server,IP Address
ci-tomcat,ci-apache-web-server,Uses,Used by (child),Tomcat,Apache Web Server
ci-oracle-instance,ci-oracle-pdb-instance,Depends on,Manages (child),Oracle Instance,Oracle PDB Instance
ci-kafka-connect,ci-kafka-topic,Connects to,Connects to (parent),Kafka Connect,Kafka Topic
ci-network-adapter,ci-citrix-netscaler,Depends on,Owned by (child),Network Adapter,Citrix Netscaler
ci-storage-server,ci-virtual-machine-instance,Runs on,Virtualized by (parent),Storage Server,Virtual Machine Instance
ci-file-system,ci-disk-partition,Uses,Provided By (parent),File System,Disk Partition
ci-cloud-subnet,ci-cloud-mgmt-network-interface,Contains,Contains (parent),Cloud Subnet,Cloud Mgmt Network Interface
ci-hyper-v-server,ci-windows-server,Runs on,Runs on (parent),Hyper-V Server,Windows Server
ci-kubernetes-cluster,ci-kubernetes-deployment,Contains,Hosts (child),Kubernetes Cluster,Kubernetes Deployment
ci-kubernetes-statefulset,ci-kubernetes-cluster,Runs on,Hosted on (parent),Kubernetes StatefulSet,Kubernetes Cluster
ci-cisco-firewall-device,ci-router-interface,Uses,Uses (parent),Cisco Firewall Device,Router Interface
ci-ip-camera,ci-edge-application,Uses,Uses (parent),IP Camera,Edge Application
ci-sap-sid,ci-sap-ers-application,Uses,Used by (child),SAP SID,SAP ERS Application
ci-sap-ci-application,ci-sap-sid,Uses,Uses (parent),SAP CI Application,SAP SID
ci-router-interface,ci-alteon,Uses,Used by (child),Router Interface,Alteon
ci-aws-datacenter,ci-availability-zone,Contains,Contains (parent),AWS Datacenter,Availability Zone
ci-openstack-endpoint,ci-openstack-datacenter,Runs on,Hosted on (parent),OpenStack Endpoint,Openstack Datacenter
ci-network-adapter,ci-aix-server,Depends on,Owned by (child),Network Adapter,AIX Server
ci-disk,ci-hyper-v-server,Contains,Contained by (child),Disk,Hyper-V Server
ci-kubernetes-cluster-role-binding,ci-cloud-service-account,Runs on,Hosted on (parent),Kubernetes Cluster Role Binding,Cloud Service Account
ci-azure-ai-foundry,ci-azure-ai-project,Contains,Contains (parent),Azure AI Foundry,Azure AI Project
ci-video-management-system,ci-site,Contains,Contained by (child),Video Management System,Site
ci-historian,ci-rtu,Connects to,Connects to (parent),Historian,RTU
ci-edge-application,ci-video-management-system,Uses,Used by (parent),Edge Application,Video Management System
ci-zones,ci-solaris-server,Runs on,Runs on (parent),Zones,Solaris Server
ci-linux-server,ci-unix-cluster-node,Contains,Hosts (child),Linux Server,UNIX Cluster Node
ci-sap-sid,ci-sap-ci-application,Uses,Used by (child),SAP SID,SAP CI Application
ci-compute-security-endpoint,ci-virtual-machine-instance,Connects to,Use End Point From (child),Compute Security Endpoint,Virtual Machine Instance
ci-cloud-network,ci-virtual-private-gateway-endpoint,Connects to,Use End Point To (parent),Cloud Network,Virtual Private Gateway Endpoint
