id,label,type,cmdbClass,domain
ci-sap-ci-application,App SAP CI Application 001,Infrastructure CI,SAP CI Application,Application / Service
ci-sap-di-application,App SAP DI Application 001,Infrastructure CI,SAP DI Application,Application / Service
ci-sap-ers-application,App SAP ERS Application 001,Infrastructure CI,SAP ERS Application,Application / Service
ci-sap-jc-application,App SAP JC Application 001,Infrastructure CI,SAP JC Application,Application / Service
ci-sap-scs-application,App SAP SCS Application 001,Infrastructure CI,SAP SCS Application,Application / Service
ci-sap-sid,Enterprise SAP SID 001,Infrastructure CI,SAP SID,Application / Service
ci-scada-client,Plant SCADA Client 001,Infrastructure CI,SCADA Client,Operational Technology
ci-scada-server,Pittsburgh SCADA Server 001,Infrastructure CI,SCADA Server,Operational Technology
ci-sdwan-edge,Enterprise SDWAN Edge 001,Infrastructure CI,SDWAN Edge,Infrastructure / Other
ci-sdwan-port,Enterprise SDWAN Port 001,Infrastructure CI,SDWAN Port,Infrastructure / Other
ci-server,Pittsburgh Server 001,Infrastructure CI,Server,Infrastructure / Other
ci-service,App Service 001,Infrastructure CI,Service,Application / Service
ci-site,Enterprise Site 001,Infrastructure CI,Site,Infrastructure / Other
ci-software,Enterprise Software 001,Infrastructure CI,Software,Infrastructure / Other
ci-solaris-server,Pittsburgh Solaris Server 001,Infrastructure CI,Solaris Server,Infrastructure / Other
ci-solaris-virtual-machine-instance,Plant Solaris Virtual Machine Instance 001,Infrastructure CI,Solaris Virtual Machine Instance,Operational Technology
ci-storage-cluster,Storage Storage Cluster 001,Infrastructure CI,Storage Cluster,Storage
ci-storage-cluster-node,Pittsburgh Storage Cluster Node 001,Infrastructure CI,Storage Cluster Node,Storage
ci-storage-controller,Storage Storage Controller 001,Infrastructure CI,Storage Controller,Storage
ci-storage-device,Storage Storage Device 001,Infrastructure CI,Storage Device,Storage
ci-storage-disk,Storage Storage Disk 001,Infrastructure CI,Storage Disk,Storage
ci-storage-export,Storage Storage Export 001,Infrastructure CI,Storage Export,Storage
ci-storage-file-share,Storage Storage File Share 001,Infrastructure CI,Storage File Share,Storage
ci-storage-hba,Storage Storage HBA 001,Infrastructure CI,Storage HBA,Storage
ci-storage-node-element,Pittsburgh Storage Node Element 001,Infrastructure CI,Storage Node Element,Storage
ci-storage-pool,Storage Storage Pool 001,Infrastructure CI,Storage Pool,Storage
ci-storage-server,Pittsburgh Storage Server 001,Infrastructure CI,Storage Server,Storage
ci-storage-volume,Storage Storage Volume 001,Infrastructure CI,Storage Volume,Storage
ci-storage-volume-snapshot,Storage Storage Volume Snapshot 001,Infrastructure CI,Storage Volume Snapshot,Storage
ci-subnet-endpoint,Network Subnet Endpoint 001,Infrastructure CI,Subnet Endpoint,Network / Security
ci-switch-forwarding-rule,Network Switch Forwarding Rule 001,Infrastructure CI,Switch Forwarding Rule,Network / Security
ci-switch-partition,Network Switch Partition 001,Infrastructure CI,Switch Partition,Network / Security
ci-switchport,Network Switchport 001,Infrastructure CI,Switchport,Network / Security
ci-technology-management-service,App Technology Management Service 001,Infrastructure CI,Technology Management Service,Application / Service
ci-tomcat,App Tomcat 001,Infrastructure CI,Tomcat,Application / Service
ci-tracked-configuration-file,Enterprise Tracked Configuration file 001,Infrastructure CI,Tracked Configuration file,Infrastructure / Other
ci-unix-cluster,Enterprise UNIX Cluster 001,Infrastructure CI,UNIX Cluster,Infrastructure / Other
ci-unix-cluster-node,Pittsburgh UNIX Cluster Node 001,Infrastructure CI,UNIX Cluster Node,Infrastructure / Other
ci-unix-cluster-resource,Enterprise UNIX Cluster Resource 001,Infrastructure CI,UNIX Cluster Resource,Infrastructure / Other
ci-unix-server,Pittsburgh UNIX Server 001,Infrastructure CI,UNIX Server,Infrastructure / Other
ci-ups,Enterprise UPS 001,Infrastructure CI,UPS,Infrastructure / Other
ci-unique-certificate,Enterprise Unique Certificate 001,Infrastructure CI,Unique Certificate,Infrastructure / Other
ci-vmware-virtual-machine-instance,Plant VMware Virtual Machine Instance 001,Infrastructure CI,VMware Virtual Machine Instance,Operational Technology
ci-vmware-virtual-machine-template,Plant VMware Virtual Machine Template 001,Infrastructure CI,VMware Virtual Machine Template,Operational Technology
ci-vmware-vcenter-cluster,Enterprise VMware vCenter Cluster 001,Infrastructure CI,VMware vCenter Cluster,Infrastructure / Other
ci-vmware-vcenter-datacenter,Enterprise VMware vCenter Datacenter 001,Infrastructure CI,VMware vCenter Datacenter,Infrastructure / Other
ci-vmware-vcenter-datastore,Enterprise VMware vCenter Datastore 001,Infrastructure CI,VMware vCenter Datastore,Infrastructure / Other
ci-vmware-vcenter-folder,Enterprise VMware vCenter Folder 001,Infrastructure CI,VMware vCenter Folder,Infrastructure / Other
ci-vmware-vcenter-instance,Enterprise VMware vCenter Instance 001,Infrastructure CI,VMware vCenter Instance,Infrastructure / Other
ci-vmware-vcenter-network,Network VMware vCenter Network 001,Infrastructure CI,VMware vCenter Network,Network / Security
ci-vnic-endpoint,Enterprise VNIC Endpoint 001,Infrastructure CI,VNIC Endpoint,Infrastructure / Other
ci-vpn-connection,Network VPN Connection 001,Infrastructure CI,VPN Connection,Network / Security
ci-video-management-system,Enterprise Video Management System 001,Infrastructure CI,Video Management System,Infrastructure / Other
ci-virtual-machine-instance,Plant Virtual Machine Instance 001,Infrastructure CI,Virtual Machine Instance,Operational Technology
ci-virtual-network-gateway-connection,Network Virtual Network Gateway Connection 001,Infrastructure CI,Virtual Network Gateway Connection,Network / Security
ci-virtual-private-gateway,Network Virtual Private Gateway 001,Infrastructure CI,Virtual Private Gateway,Network / Security
ci-virtual-private-gateway-endpoint,Network Virtual Private Gateway Endpoint 001,Infrastructure CI,Virtual Private Gateway Endpoint,Network / Security
ci-web-acl,App Web ACL 001,Infrastructure CI,Web ACL,Application / Service
ci-web-application,App Web Application 001,Infrastructure CI,Web Application,Application / Service
ci-web-server,Pittsburgh Web Server 001,Infrastructure CI,Web Server,Application / Service
ci-web-service,App Web Service 001,Infrastructure CI,Web Service,Application / Service
ci-websphere-cell,App Websphere Cell 001,Infrastructure CI,Websphere Cell,Application / Service
ci-windows-cluster,Enterprise Windows Cluster 001,Infrastructure CI,Windows Cluster,Infrastructure / Other
ci-windows-cluster-node,Pittsburgh Windows Cluster Node 001,Infrastructure CI,Windows Cluster Node,Infrastructure / Other
ci-windows-cluster-resource,Enterprise Windows Cluster Resource 001,Infrastructure CI,Windows Cluster Resource,Infrastructure / Other
ci-windows-server,Pittsburgh Windows Server 001,Infrastructure CI,Windows Server,Infrastructure / Other
ci-wireless-access-point,Enterprise Wireless Access Point 001,Infrastructure CI,Wireless Access Point,Infrastructure / Other
ci-zones,Enterprise Zones 001,Infrastructure CI,Zones,Infrastructure / Other
ci-zoo-keeper-cluster,Enterprise Zoo Keeper Cluster 001,Infrastructure CI,Zoo Keeper Cluster,Infrastructure / Other
ci-zoo-keeper-cluster-node,Pittsburgh Zoo Keeper Cluster Node 001,Infrastructure CI,Zoo Keeper Cluster Node,Infrastructure / Other
ci-cmdb-ci-cloud-org,Trading cmdb_ci_cloud_org 001,Infrastructure CI,cmdb_ci_cloud_org,Cloud
ci-cmdb-ci-ot-isa-entity,Trading cmdb_ci_ot_isa_entity 001,Infrastructure CI,cmdb_ci_ot_isa_entity,Operational Technology
ci-iscsi-disk,Storage iSCSI Disk 001,Infrastructure CI,iSCSI Disk,Storage
ci-ovirt-cluster,Enterprise oVirt Cluster 001,Infrastructure CI,oVirt Cluster,Infrastructure / Other
ci-ovirt-ldc,Enterprise oVirt LDC 001,Infrastructure CI,oVirt LDC,Infrastructure / Other
ci-ovirt-server,Pittsburgh oVirt Server 001,Infrastructure CI,oVirt Server,Infrastructure / Other
ci-ovirt-virtual-machine-instance,Plant oVirt Virtual Machine Instance 001,Infrastructure CI,oVirt Virtual Machine Instance,Operational Technology
